trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_038.trj,80.20,4.68,-308.59,0.00,0.00,0.00,1.97,1.97,-0.98,-0.98,1.03,-18.90,6:38,rear end,0.94,71.70,19,5,2,4.64,2.00,90.60,0.00,0.94,4.68,-308.59,4.68,-308.59,21,5,2,4.21,2.00,71.70,1.97,1.03,5.97,-313.04,5.97,-313.04,1.00,99.00,99.00,
left turn real_038.trj,88.20,4.75,-315.51,0.00,0.00,0.00,4.98,3.73,-0.42,-0.42,1.96,-13.96,6:28,rear end,1.96,76.64,22,5,2,4.21,2.00,90.60,0.00,1.96,4.75,-315.51,4.75,-315.51,29,5,2,4.64,2.00,76.64,3.73,1.78,6.08,-319.98,6.08,-319.98,1.00,99.00,99.00,
left turn real_038.trj,98.20,4.87,-326.95,0.00,0.00,0.00,1.04,0.52,-7.64,-7.64,0.27,-16.11,6:32,rear end,0.81,79.95,33,5,2,4.64,2.00,90.60,0.57,0.27,4.87,-326.95,4.87,-326.95,35,5,2,4.76,2.07,74.49,1.04,0.25,6.15,-331.66,6.15,-331.66,1.00,99.00,99.00,
left turn real_038.trj,147.00,5.30,-368.26,0.00,0.00,0.00,4.01,4.01,-1.89,-1.89,2.28,-13.05,6:26,rear end,1.73,77.56,59,5,2,4.76,2.07,90.60,0.00,1.73,5.30,-368.26,5.30,-368.26,62,5,1,3.75,1.99,77.56,4.01,2.28,6.95,-371.89,6.95,-371.89,1.00,99.00,99.00,
left turn real_038.trj,161.00,-0.02,-257.61,0.00,0.00,0.00,5.32,3.05,2.46,2.46,1.74,-21.72,6:43,rear end,1.31,248.21,34,1,2,4.76,2.07,269.93,0.00,1.31,-0.02,-257.61,-0.02,-257.61,40,1,2,3.75,1.99,248.21,3.05,1.74,-1.23,-253.33,-1.23,-253.33,1.00,99.00,99.00,
left turn real_038.trj,165.60,5.07,-346.40,0.00,0.00,0.00,0.55,0.55,0.54,0.54,0.28,-25.37,6:51,rear end,0.28,65.23,55,5,2,4.64,2.00,90.60,0.00,0.28,5.07,-346.40,5.07,-346.40,57,5,2,4.76,2.07,65.23,0.55,0.27,5.91,-351.17,5.91,-351.17,1.00,99.00,99.00,
left turn real_038.trj,166.80,4.97,-336.14,0.00,0.00,0.00,0.62,0.62,0.67,0.67,0.31,-26.48,6:53,rear end,0.31,64.12,52,5,2,4.61,1.95,90.60,0.00,0.31,4.97,-336.14,4.97,-336.14,53,5,2,4.61,1.95,64.12,0.62,0.31,5.81,-340.83,5.81,-340.83,1.00,99.00,99.00,
left turn real_038.trj,168.60,4.55,-296.05,0.00,0.00,0.00,1.66,1.65,-1.07,-1.07,0.83,-21.58,6:43,rear end,0.83,69.12,22,5,2,4.21,2.00,90.60,0.01,0.83,4.55,-296.05,4.55,-296.05,31,5,2,4.21,2.00,69.02,1.66,0.83,5.78,-300.25,5.78,-300.25,1.00,99.00,99.00,
left turn real_038.trj,170.00,-0.02,-257.63,0.00,0.00,0.00,5.30,2.79,2.22,2.22,1.44,-21.10,6:42,rear end,1.41,249.30,34,1,2,4.76,2.07,269.93,0.06,1.36,-0.02,-257.63,-0.02,-257.63,58,1,2,4.64,2.00,248.83,2.85,1.44,-1.12,-252.74,-1.12,-252.74,1.00,99.00,99.00,
left turn real_038.trj,175.20,4.92,-332.00,0.00,0.00,0.00,1.45,0.83,0.76,0.76,0.42,-22.77,6:46,rear end,0.86,73.95,52,5,2,4.61,1.95,90.60,0.48,0.42,4.92,-332.00,4.92,-332.00,55,5,2,4.64,2.00,67.83,1.25,0.41,5.80,-336.77,5.80,-336.77,1.00,99.00,99.00,
left turn real_038.trj,185.00,-0.83,-245.20,0.00,0.00,0.00,5.18,2.02,-7.20,-7.20,1.04,5.79,5:48,rear end,4.15,258.84,81,1,2,4.61,1.95,255.34,3.20,0.98,-0.83,-245.20,-0.83,-245.20,84,1,1,4.21,2.00,261.13,5.18,1.04,-2.38,-242.63,-2.38,-242.63,1.00,99.00,99.00,
left turn real_038.trj,185.40,-0.01,-251.06,0.00,0.00,0.00,5.71,3.75,1.37,1.37,1.93,-16.10,6:32,rear end,1.93,253.83,65,1,2,4.21,2.00,269.93,0.00,1.93,-0.01,-251.06,-0.01,-251.06,81,1,2,4.61,1.95,253.83,3.75,1.81,-1.26,-246.60,-1.26,-246.60,1.00,99.00,99.00,
left turn real_038.trj,196.20,4.95,-334.17,0.00,0.00,0.00,1.15,1.00,1.08,1.08,0.50,-25.36,6:51,rear end,0.66,68.57,82,5,2,4.01,1.85,90.60,0.18,0.50,4.95,-334.17,4.95,-334.17,86,5,2,4.01,1.85,65.24,1.15,0.50,5.87,-338.34,5.87,-338.34,1.00,99.00,99.00,
