trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_002.trj,80.20,4.68,-308.59,0.00,0.00,0.00,1.97,1.97,-0.98,-0.98,1.03,-18.90,6:38,rear end,0.94,71.70,19,5,2,4.64,2.00,90.60,0.00,0.94,4.68,-308.59,4.68,-308.59,21,5,2,4.21,2.00,71.70,1.97,1.03,5.97,-313.04,5.97,-313.04,1.00,99.00,99.00,
left turn real_002.trj,88.20,4.75,-315.51,0.00,0.00,0.00,4.98,3.73,-0.42,-0.42,1.96,-13.96,6:28,rear end,1.96,76.64,22,5,2,4.21,2.00,90.60,0.00,1.96,4.75,-315.51,4.75,-315.51,29,5,2,4.64,2.00,76.64,3.73,1.78,6.08,-319.98,6.08,-319.98,1.00,99.00,99.00,
left turn real_002.trj,98.20,4.87,-326.95,0.00,0.00,0.00,0.83,0.33,-7.65,-7.65,0.17,-16.62,6:33,rear end,0.70,80.51,33,5,2,4.64,2.00,90.60,0.57,0.17,4.87,-326.95,4.87,-326.95,35,5,2,4.76,2.07,73.98,0.83,0.16,6.14,-331.65,6.14,-331.65,1.00,99.00,99.00,
left turn real_002.trj,145.40,2.81,-287.08,0.00,0.00,0.00,10.64,15.10,2.25,2.25,7.55,157.44,12:45,crossing,3.02,251.71,16,10004,1,4.64,2.00,112.79,5.00,7.55,2.81,-287.08,2.81,-287.08,27,10001,2,4.64,2.00,270.23,10.35,7.55,0.00,-285.22,0.00,-285.22,1.00,99.00,99.00,
left turn real_002.trj,147.00,-4.39,-281.47,0.00,0.00,0.00,9.73,14.00,1.70,1.70,7.33,114.51,2:11,crossing,4.50,220.58,16,8,2,4.64,2.00,155.68,7.18,6.67,-4.39,-281.47,-4.39,-281.47,32,10001,1,4.21,2.00,270.19,9.40,7.33,-3.52,-279.47,-3.52,-279.47,1.00,99.00,99.00,
left turn real_002.trj,147.00,5.30,-368.26,0.00,0.00,0.00,4.00,4.00,-1.87,-1.87,2.28,-13.07,6:26,rear end,1.72,77.53,59,5,2,4.76,2.07,90.60,0.00,1.72,5.30,-368.26,5.30,-368.26,62,5,1,3.75,1.99,77.53,4.00,2.28,6.95,-371.88,6.95,-371.88,1.00,99.00,99.00,
left turn real_002.trj,150.60,-2.36,-282.20,0.00,0.00,0.00,11.10,15.84,1.43,1.43,8.80,125.89,1:48,crossing,3.99,216.31,19,10004,1,4.64,2.00,144.27,7.16,7.04,-2.36,-282.20,-2.36,-282.20,38,10001,1,4.01,1.85,270.16,10.54,8.80,-3.52,-278.20,-3.52,-278.20,1.00,99.00,99.00,
left turn real_002.trj,160.80,4.57,-298.78,0.00,0.00,0.00,3.65,2.59,0.56,0.56,1.35,-20.17,6:40,rear end,1.25,70.56,33,5,2,4.64,2.00,90.60,0.02,1.23,4.57,-298.78,4.57,-298.78,39,5,2,4.21,2.00,70.43,2.60,1.35,5.84,-303.21,5.84,-303.21,1.00,99.00,99.00,
left turn real_002.trj,161.00,-0.02,-257.64,0.00,0.00,0.00,5.32,3.05,2.46,2.46,1.73,-21.72,6:43,rear end,1.31,248.21,34,1,2,4.76,2.07,269.93,0.00,1.31,-0.02,-257.64,-0.02,-257.64,40,1,2,3.75,1.99,248.21,3.05,1.73,-1.23,-253.36,-1.23,-253.36,1.00,99.00,99.00,
left turn real_002.trj,169.00,4.79,-319.07,0.00,0.00,0.00,2.46,2.05,2.45,2.45,1.04,-22.65,6:45,rear end,1.45,71.32,53,5,2,4.61,1.95,90.60,0.45,1.04,4.79,-319.07,4.79,-319.07,55,5,2,4.64,2.00,67.95,2.46,1.01,5.90,-323.70,5.90,-323.70,1.00,99.00,99.00,
