trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_002.trj,88.20,4.75,-315.51,0.00,0.00,0.00,6.46,6.46,-2.44,-2.87,3.38,-7.99,6:16,rear end,3.38,82.61,22,5,2,4.21,2.00,90.60,0.00,3.38,4.75,-315.51,4.75,-315.51,29,5,2,4.64,2.00,82.61,6.46,3.08,4.89,-329.10,6.08,-319.98,1.00,99.00,99.00,
left turn real_002.trj,145.40,2.81,-287.08,0.00,0.00,0.00,10.64,12.65,2.25,2.25,6.32,167.01,12:26,crossing,0.99,230.17,16,5,2,4.64,2.00,103.20,5.68,6.32,4.53,-294.39,2.81,-287.08,27,10001,2,4.64,2.00,270.20,7.05,6.32,-0.04,-273.01,0.00,-285.22,1.00,99.00,99.00,
left turn real_002.trj,147.00,-4.39,-281.47,0.00,0.00,0.00,9.73,10.70,1.70,1.70,5.60,125.84,1:48,crossing,2.76,218.39,16,10004,1,4.64,2.00,144.23,5.10,5.09,2.27,-286.26,-4.39,-281.47,32,1,1,4.21,2.00,270.07,6.88,5.60,-3.53,-268.03,-3.52,-279.47,1.00,99.00,99.00,
left turn real_002.trj,147.00,5.30,-368.26,0.00,0.00,0.00,6.72,6.72,-1.70,-3.03,3.83,-8.73,6:17,lane change,2.89,81.88,59,5,2,4.76,2.07,90.60,0.00,2.89,5.30,-368.26,5.30,-368.26,62,5,2,3.75,1.99,81.88,6.72,3.83,5.45,-382.40,6.95,-371.88,1.00,99.00,99.00,
left turn real_002.trj,150.60,-2.36,-282.20,0.00,0.00,0.00,11.10,12.20,1.43,1.43,6.78,132.62,1:35,crossing,2.87,230.89,19,10004,1,4.64,2.00,137.42,4.43,5.43,2.67,-286.83,-2.36,-282.20,38,1,1,4.01,1.85,270.04,8.76,6.78,-3.53,-266.60,-3.52,-278.20,1.00,99.00,99.00,
left turn real_002.trj,152.40,4.67,-308.25,0.00,1.00,0.60,3.78,1.77,-1.09,-1.43,0.93,0.00,6:00,rear end,2.85,90.60,33,5,2,4.64,2.00,90.60,2.01,0.84,4.69,-309.60,4.66,-307.00,39,5,2,4.21,2.00,90.60,3.78,0.93,4.76,-316.41,4.72,-312.37,1.00,99.00,99.00,
left turn real_002.trj,149.40,-0.01,-251.63,0.00,1.00,2.20,4.33,1.21,-0.61,-1.96,0.69,0.00,6:00,rear end,3.81,269.93,34,1,2,4.76,2.07,269.93,4.33,0.52,-0.01,-251.63,-0.02,-257.64,40,1,2,3.75,1.99,269.93,3.12,0.69,0.00,-240.16,-0.01,-251.44,1.00,99.00,99.00,
left turn real_002.trj,150.40,4.57,-298.01,0.00,0.70,0.60,4.05,1.92,-1.30,-7.63,0.96,-13.19,6:26,lane change,3.14,82.44,22,5,2,4.21,2.00,90.90,2.27,0.96,4.57,-298.84,4.47,-292.21,31,5,2,4.21,2.00,77.71,4.05,0.96,4.65,-305.57,7.02,-294.68,1.00,99.00,99.00,
left turn real_002.trj,153.20,8.52,-366.59,0.00,1.00,2.20,2.88,2.88,-2.65,-2.65,1.57,3.43,5:53,rear end,1.57,90.60,62,5,1,3.75,1.99,87.18,0.00,1.57,8.52,-366.59,8.67,-363.66,64,5,1,4.61,1.95,90.60,2.88,1.31,8.86,-373.66,8.83,-370.90,1.00,99.00,99.00,
left turn real_002.trj,155.60,5.30,-368.02,0.00,0.90,2.40,4.75,4.74,-1.75,-1.75,2.70,0.00,5:59,rear end,2.05,90.60,59,5,2,4.76,2.07,90.60,0.01,2.04,5.30,-368.23,5.28,-365.56,66,5,2,3.75,1.99,90.60,4.75,2.70,5.42,-379.50,5.35,-372.25,1.00,99.00,99.00,
