trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
left turn real_036.trj,80.20,4.65,-305.74,0.00,0.00,0.00,7.05,7.05,-1.82,-3.13,3.69,-7.39,6:15,rear end,3.36,83.22,19,5,2,4.64,2.00,90.60,0.00,3.36,4.65,-305.74,4.65,-305.74,21,5,2,4.21,2.00,83.22,7.05,3.69,4.80,-320.37,6.01,-310.21,1.00,99.00,99.00,
left turn real_036.trj,88.80,4.70,-310.67,0.00,0.00,0.00,6.48,6.48,-2.41,-2.84,3.39,-7.93,6:16,rear end,3.39,82.67,22,5,2,4.21,2.00,90.60,0.00,3.39,4.70,-310.67,4.70,-310.67,29,5,2,4.64,2.00,82.67,6.48,3.08,4.84,-324.36,6.03,-315.14,1.00,99.00,99.00,
left turn real_036.trj,147.00,5.22,-360.45,0.00,1.20,2.20,6.34,6.34,-2.06,-7.21,3.61,0.00,5:59,rear end,2.73,90.60,59,5,2,4.76,2.07,90.60,0.00,2.73,5.22,-360.45,5.22,-359.83,62,5,2,3.75,1.99,90.60,6.34,3.61,5.36,-373.85,5.27,-364.70,1.00,99.00,99.00,
left turn real_036.trj,149.40,-0.01,-251.63,0.00,1.00,2.20,4.33,1.21,-0.61,-1.96,0.69,0.00,6:00,rear end,3.81,269.93,34,1,2,4.76,2.07,269.93,4.33,0.52,-0.01,-251.63,-0.02,-257.61,40,1,2,3.75,1.99,269.93,3.12,0.69,0.00,-240.16,-0.01,-251.35,1.00,99.00,99.00,
left turn real_036.trj,153.80,8.73,-361.68,0.00,1.00,1.20,5.31,5.31,-1.99,-1.99,2.78,0.00,5:59,rear end,2.53,90.60,56,5,1,4.76,2.07,90.60,0.00,2.53,8.74,-361.86,8.71,-359.38,64,5,1,4.61,1.95,90.60,5.31,2.78,8.87,-374.15,8.78,-366.16,1.00,99.00,99.00,
left turn real_036.trj,156.20,6.31,-302.32,0.00,0.70,1.20,8.52,8.18,-0.08,-7.13,4.22,23.67,5:13,lane change,4.56,89.71,31,5,2,4.21,2.00,66.93,0.37,4.22,5.16,-303.76,7.74,-297.69,47,5,1,4.61,1.95,90.60,8.52,3.96,8.27,-316.96,8.14,-305.16,1.00,99.00,99.00,
left turn real_036.trj,156.80,5.14,-352.86,0.00,0.60,2.40,2.59,2.05,-7.19,-7.19,1.17,0.00,5:59,rear end,0.98,90.60,59,5,2,4.76,2.07,90.60,0.10,0.88,5.14,-352.92,5.12,-350.54,62,5,2,3.75,1.99,90.60,2.15,1.17,5.21,-359.42,5.19,-356.97,1.00,99.00,99.00,
left turn real_036.trj,159.00,5.05,-344.22,0.00,1.40,1.60,1.94,1.74,-3.47,-3.47,0.87,0.00,5:59,rear end,1.06,90.60,57,5,2,4.76,2.07,90.60,0.19,0.87,5.05,-344.22,5.04,-343.29,59,5,2,4.76,2.07,90.60,1.94,0.87,5.13,-351.38,5.10,-348.83,1.00,99.00,99.00,
left turn real_036.trj,155.20,5.22,-360.36,0.00,0.90,0.80,7.28,7.24,-1.56,-7.40,3.62,-7.20,6:14,lane change,3.65,83.43,62,5,2,3.75,1.99,90.60,0.03,3.62,5.22,-360.65,5.16,-354.84,66,5,2,3.75,1.99,83.40,7.27,3.62,5.37,-374.86,7.40,-357.35,1.00,99.00,99.00,
left turn real_036.trj,161.00,-0.02,-257.61,0.00,0.00,0.00,5.32,1.54,2.46,2.46,0.88,-24.34,6:49,rear end,0.66,245.59,34,1,2,4.76,2.07,269.93,0.00,0.66,-0.02,-257.61,-0.02,-257.61,40,1,2,3.75,1.99,245.59,1.54,0.88,-0.60,-251.93,-1.23,-253.33,1.00,99.00,99.00,
left turn real_036.trj,157.00,8.16,-306.82,0.00,1.00,1.20,6.89,3.90,-1.59,-6.88,2.00,-0.02,6:00,rear end,4.89,90.61,47,5,1,4.61,1.95,90.62,2.99,1.91,8.16,-306.82,7.98,-289.92,49,5,1,4.36,1.97,90.60,6.89,2.00,8.26,-316.51,8.10,-301.66,1.00,99.00,99.00,
